height_cm,weight_kg,bmi,shoulder_width_ratio,hip_width_ratio,torso_length_ratio,leg_length_ratio,arm_length_ratio,shoulder_hip_ratio,torso_leg_ratio,back_length_ratio,belly_width_ratio,neck_width_ratio,upper_arm_ratio,thigh_ratio,inseam_ratio,arm_span_ratio,chest,waist,hip,shoulder_width_cm,back_length,inseam,thigh_circumference,neck_circumference,arm_circumference,gender_male
162.8,54.2,20.4587,0.2373,0.1865,0.2804,0.4612,0.3388,1.2728,0.608,0.2653,0.1521,0.064,0.1864,0.2537,0.4362,0.915,87.0,67.6,95.3,38.6,43.2,71.0,51.2,32.7,26.0,0.0
158.7,45.9,18.2384,0.2317,0.1761,0.2792,0.4658,0.3372,1.3161,0.5995,0.263,0.1457,0.0604,0.1855,0.2562,0.4292,0.9061,79.3,64.4,87.8,36.8,41.7,68.1,47.4,30.1,24.4,0.0
171.6,55.0,18.6775,0.2508,0.1653,0.2925,0.4758,0.3491,1.5175,0.6148,0.2727,0.1397,0.0645,0.192,0.2617,0.4418,0.949,87.2,75.4,89.0,43.0,46.8,75.8,52.6,34.8,29.1,1.0
172.1,57.1,19.2777,0.2493,0.169,0.2904,0.4602,0.3511,1.4755,0.6311,0.2726,0.1528,0.0668,0.1931,0.2531,0.4452,0.9515,89.4,75.4,91.3,42.9,46.9,76.6,51.0,36.1,30.0,1.0
192.2,59.4,16.0774,0.2431,0.1562,0.2882,0.4754,0.3479,1.5561,0.6063,0.2737,0.1363,0.0619,0.1914,0.2615,0.4411,0.939,93.7,75.4,94.3,46.7,52.6,84.8,52.7,37.4,30.5,1.0
148.6,61.8,27.9725,0.2407,0.2063,0.2801,0.4604,0.3352,1.1666,0.6085,0.2597,0.1747,0.0706,0.1844,0.2532,0.4386,0.9111,87.5,70.3,96.3,35.8,38.6,65.2,54.5,32.9,26.7,0.0
168.1,56.2,19.8722,0.2513,0.1717,0.2881,0.4654,0.353,1.464,0.619,0.268,0.1478,0.0652,0.1941,0.256,0.44,0.9573,86.2,73.6,90.6,42.3,45.1,74.0,50.5,34.4,29.2,1.0
168.7,46.1,16.206,0.226,0.1722,0.2804,0.4547,0.3382,1.3128,0.6166,0.2589,0.1376,0.0587,0.186,0.2501,0.4432,0.9023,82.6,63.7,91.2,38.1,43.7,74.8,49.6,31.1,24.8,0.0
174.3,84.4,27.791,0.2616,0.193,0.2921,0.4688,0.3495,1.3559,0.6232,0.2775,0.1666,0.0738,0.1922,0.2578,0.4429,0.9606,100.4,87.1,105.6,45.6,48.4,77.2,58.7,40.4,34.2,1.0
162.5,70.9,26.8472,0.2435,0.201,0.2793,0.4607,0.3342,1.2118,0.6063,0.2649,0.1738,0.0694,0.1838,0.2534,0.4371,0.9119,94.2,75.1,102.5,39.6,43.0,71.0,60.4,35.4,29.3,0.0
166.3,70.6,25.5305,0.2387,0.2008,0.2782,0.4627,0.3403,1.1884,0.6012,0.2644,0.1615,0.0684,0.1871,0.2545,0.4322,0.9192,94.3,76.5,104.9,39.7,44.0,71.9,56.8,35.7,30.0,0.0
